#X Y timestamp framecnt Z flag
116.0 17.6 1654240219.93 1150838 0.0 0
116.0 20.2 1654240223.22 1155022 0.0 0
116.0 22.8 1654240226.52 1159207 0.0 0
116.0 25.4 1654240229.81 1163391 0.0 0
116.0 28.0 1654240233.1 1167575 0.0 0
116.0 30.6 1654240236.39 1171758 0.0 0
116.0 33.2 1654240239.68 1175943 0.0 0
116.0 35.8 1654240242.97 1180125 0.0 0
116.0 38.4 1654240246.26 1184308 0.0 0
116.0 41.0 1654240249.55 1188493 0.0 0
116.0 43.6 1654240252.84 1192676 0.0 0
116.0 46.2 1654240256.13 1196860 0.0 0
116.0 48.8 1654240259.42 1201045 0.0 0
116.0 51.4 1654240262.71 1205228 0.0 0
116.0 54.0 1654240266.0 1209410 0.0 0
116.0 56.6 1654240269.29 1213593 0.0 0
116.0 59.2 1654240272.58 1217778 0.0 0
116.0 61.8 1654240275.87 1221962 0.0 0
116.0 64.4 1654240279.16 1226146 0.0 0
116.0 67.0 1654240282.45 1230330 0.0 0
116.0 69.6 1654240285.74 1234514 0.0 0
116.0 72.2 1654240289.03 1238696 0.0 0
116.0 74.8 1654240292.32 1242881 0.0 0
116.0 77.4 1654240295.61 1247066 0.0 0
116.0 80.0 1654240298.9 1251251 0.0 0
116.0 82.6 1654240302.19 1255434 0.0 0
116.0 85.2 1654240305.48 1259618 0.0 0
116.0 87.8 1654240308.77 1263803 0.0 0
116.0 90.4 1654240312.06 1267987 0.0 0
116.0 93.0 1654240315.36 1272173 0.0 0
116.0 95.6 1654240318.65 1276359 0.0 0
116.0 98.2 1654240321.94 1280542 0.0 0
116.0 100.8 1654240325.23 1284726 0.0 0
116.0 103.4 1654240328.52 1288909 0.0 0
116.0 106.0 1654240331.81 1293095 0.0 0
116.0 108.6 1654240335.1 1297277 0.0 0
116.0 111.2 1654240338.39 1301461 0.0 0
116.0 113.8 1654240341.68 1305646 0.0 0
116.0 116.4 1654240344.97 1309830 0.0 0
116.0 119.0 1654240348.26 1314015 0.0 0
116.0 121.6 1654240351.55 1318198 0.0 0
116.0 124.2 1654240354.84 1322382 0.0 0
116.0 126.8 1654240358.13 1326566 0.0 0
116.0 129.4 1654240361.42 1330749 0.0 0
116.0 132.0 1654240364.71 1334931 0.0 0
116.0 134.6 1654240368.0 1339116 0.0 0
116.0 137.2 1654240371.29 1343299 0.0 0
116.0 139.8 1654240374.58 1347482 0.0 0
116.0 142.4 1654240377.87 1351666 0.0 0
116.0 145.0 1654240381.16 1355850 0.0 0
168.0 80.0 1654240388.64 1365354 0.0 1
118.6 15.0 1654240396.11 1374858 0.0 0
118.6 17.6 1654240399.4 1379043 0.0 0
118.6 20.2 1654240402.69 1383227 0.0 0
118.6 22.8 1654240405.98 1387412 0.0 0
118.6 25.4 1654240409.27 1391595 0.0 0
118.6 28.0 1654240412.56 1395779 0.0 0
118.6 30.6 1654240415.85 1399963 0.0 0
118.6 33.2 1654240419.14 1404146 0.0 0
118.6 35.8 1654240422.43 1408331 0.0 0
118.6 38.4 1654240425.72 1412514 0.0 0
118.6 41.0 1654240429.02 1416699 0.0 0
118.6 43.6 1654240432.31 1420882 0.0 0
118.6 46.2 1654240435.59 1425064 0.0 0
118.6 48.8 1654240438.89 1429248 0.0 0
118.6 51.4 1654240442.18 1433433 0.0 0
118.6 54.0 1654240445.47 1437617 0.0 0
118.6 56.6 1654240448.76 1441802 0.0 0
118.6 59.2 1654240452.05 1445984 0.0 0
